Artist Name,Album Name,Songs,Play Count
plumpy,GASA,Intuit,0
plumpy,GASA,More,0
plumpy,GASA,Nestuska,0
plumpy,GASA,Mana Ma,0
plumpy,GASA,Zap,0
plumpy,GASA,Fajcit,0
plumpy,GASA,Waiting for the truth,0
plumpy,GASA,Show u,1310
plumpy,GASA,Cinderella,1056
plumpy,Swoon,Swoon,4034
plumpy,Taco Tuesday,Taco Tuesday,0
plumpy,EPHEMERAL PARADOX,SAINT TROPEZ,0
plumpy,EPHEMERAL PARADOX,BISH,0
plumpy,EPHEMERAL PARADOX,69A,0
plumpy,EPHEMERAL PARADOX,PARADOX,2161
plumpy,Freedom,Freedom,37562
plumpy,BAMBU (Belmont Boys Remix),BAMBU - Belmont Boys Remix,340114
plumpy,GASA REMIXES,Mana Ma (OAKK Remix),6606
plumpy,GASA REMIXES,Cinderella (Akira Akira Remix),0
plumpy,GASA REMIXES,Cinderella (Swavé Remix) - Swavé Remix,0
plumpy,GASA REMIXES,Cinderella (VRLO Remix),2632
plumpy,Money,Money,1112
plumpy,HOPE,a little more,2401
plumpy,HOPE,right here right now,1672
plumpy,HOPE,adore u,25942
plumpy,HOPE,hypnotized,1234
plumpy,Trieste,Trieste,0
plumpy,choncho,choncho,2815
plumpy,FLEX,FLEX,44726
plumpy,save me,save me,52526
Très Mortimer,SCARY POTTER,MONEY (with Marty Grimes),4051
Très Mortimer,SCARY POTTER,JUICE,1954
Très Mortimer,SCARY POTTER,DINERO,1332
Très Mortimer,SCARY POTTER,SCARY POTTER,3115
plumpy,KOTA,KOTA,34427
plumpy,SILKROAD,SILKROAD,0
plumpy,Getaway,Getaway,1679
plumpy,FK IT UP (Diddy Thump Remix),Plumpy - FK IT UP (w/Skales) (DIDDY THUMP REMIX),1603
plumpy,FK IT UP (GLACCI REMIX),Plumpy - FK IT UP (w/ Skales) (GLACCI REMIX),2413
plumpy,FK IT UP (PLUMPY & TRÈS MORTIMER REMIX),Plumpy -FK IT UP (w/Skales) (PLUMPY & TRÈS MORTIMER REMIX),2389
plumpy,FK IT UP,Plumpy - FK IT UP (w/Skales),3777
Très Mortimer,Pipe,Pipe,4513
Très Mortimer,Koko,Koko,9628
plumpy,Suffocate,Suffocate,642535
plumpy,BAMBU (with Très Mortimer),BAMBU (with Très Mortimer),822349
plumpy,stupid,stupid,2882
plumpy,4akqeIAgS7GEzSzx6XjSdE,yamO,23875
